t,turn,prompt_tokens,cached_tokens,hit_pct,latency_s
1.7,1,7981,0,0.0,1.707
42.9,2,8165,7976,97.7,1.235
83.9,3,8355,8160,97.7,0.985
124.9,4,8558,8350,97.6,0.983
166.1,5,8755,8553,97.7,1.232
207.1,6,8945,8750,97.8,0.966
248.4,7,9135,8940,97.9,1.277
289.4,8,9309,9130,98.1,0.97
330.6,9,9507,9304,97.9,1.25
