t,token_usage,kv_available,kv_evictable,evicted_total
1784308416,0.32,18233.0,9035.0,0
1784308417,0.21,18145.0,13460.0,0
1784308418,0.22,22332.0,9035.0,0
1784308419,0.1,18113.0,17767.0,0
1784308420,0.11,22514.0,13099.0,0
1784308421,0.32,18234.0,9035.0,0
1784308422,0.1,18170.0,17768.0,0
1784308423,0.21,22393.0,9035.0,0
1784308424,0.21,18265.0,13466.0,0
1784308425,0.21,22459.0,9035.0,0
1784308426,0.31,18372.0,9035.0,0
1784308427,0.1,18274.0,17641.0,0
1784308428,0.53,18142.0,485.0,0
1784308429,0.1,17968.0,17943.0,0
1784308430,0.21,22177.0,9301.0,0
1784308431,0.21,17969.0,13689.0,0
1784308432,0.11,22292.0,13379.0,0
1784308433,0.32,17986.0,9301.0,0
1784308434,0.1,17891.0,17983.0,0
1784308435,0.22,22066.0,9301.0,0
1784308436,0.32,17952.0,9301.0,0
1784308437,0.11,22307.0,13323.0,0
1784308438,0.32,18036.0,9301.0,0
1784308439,0.21,17968.0,13731.0,0
1784308440,0.21,22122.0,9301.0,0
1784308442,0.21,18040.0,13691.0,0
1784308443,0.11,22373.0,13286.0,0
1784308444,0.32,18089.0,9301.0,0
1784308445,0.21,17991.0,13696.0,0
1784308446,0.21,22161.0,9301.0,0
1784308447,0.1,17929.0,17944.0,0
1784308448,0.22,22085.0,9301.0,0
1784308449,0.21,17868.0,13734.0,0
1784308450,0.21,17868.0,13734.0,0
1784308451,0.32,17986.0,9301.0,0
1784308452,0.1,17892.0,18021.0,0
1784308453,0.22,22096.0,9301.0,0
1784308454,0.32,17930.0,9301.0,0
1784308455,0.11,22275.0,13372.0,0
1784308456,0.32,18006.0,9301.0,0
1784308457,0.21,17935.0,13713.0,0
1784308458,0.22,22063.0,9301.0,0
1784308459,0.21,17958.0,13729.0,0
1784308460,0.11,22326.0,13301.0,0
1784308461,0.32,18024.0,9301.0,0
1784308462,0.1,17944.0,17945.0,0
1784308463,0.21,22154.0,9301.0,0
1784308464,0.1,17903.0,17942.0,0
1784308465,0.11,22267.0,13387.0,0
1784308466,0.21,17925.0,13707.0,0
1784308467,0.21,17925.0,13707.0,0
1784308468,0.22,22043.0,9301.0,0
1784308469,0.33,17653.0,9264.0,0
1784308470,0.22,21835.0,9560.0,0
1784308471,0.32,17768.0,9560.0,0
1784308472,0.21,17673.0,13966.0,0
1784308473,0.32,17789.0,9560.0,0
1784308474,0.0,17662.0,22338.0,0
1784308475,0.21,21909.0,9560.0,0
1784308476,0.21,17820.0,13929.0,0
1784308477,0.11,22131.0,13545.0,0
1784308478,0.32,17839.0,9560.0,0
1784308479,0.1,17749.0,18148.0,0
1784308480,0.21,21932.0,9560.0,0
1784308481,0.1,17680.0,18168.0,0
1784308482,0.11,21990.0,13645.0,0
1784308484,0.32,17731.0,9560.0,0
1784308485,0.21,17654.0,13984.0,0
1784308486,0.22,21779.0,9560.0,0
1784308487,0.21,17671.0,14023.0,0
1784308488,0.21,21906.0,9560.0,0
1784308489,0.32,17788.0,9560.0,0
1784308490,0.1,17709.0,18193.0,0
1784308491,0.32,17833.0,9560.0,0
1784308492,0.0,17709.0,22291.0,0
1784308493,0.21,21899.0,9560.0,0
1784308494,0.21,17737.0,13951.0,0
1784308495,0.11,22082.0,13584.0,0
1784308496,0.32,17786.0,9560.0,0
1784308497,0.1,17695.0,18187.0,0
1784308498,0.21,21873.0,9560.0,0
1784308499,0.32,17724.0,9560.0,0
1784308500,0.11,22015.0,13609.0,0
1784308501,0.32,17715.0,9560.0,0
1784308502,0.21,17613.0,13995.0,0
1784308503,0.22,21814.0,9560.0,0
1784308504,0.1,17592.0,18286.0,0
1784308505,0.11,21981.0,13623.0,0
1784308506,0.21,17651.0,14015.0,0
1784308507,0.1,17590.0,18283.0,0
1784308508,0.22,21836.0,9560.0,0
1784308509,0.21,17716.0,13975.0,0
1784308510,0.44,21692.0,623.0,0
1784308511,0.55,17495.0,623.0,0
1784308512,0.1,17373.0,18465.0,0
1784308513,0.32,17450.0,9819.0,0
1784308514,0.1,17322.0,18529.0,0
1784308515,0.22,21513.0,9819.0,0
1784308516,0.21,17309.0,14297.0,0
1784308517,0.11,21743.0,13879.0,0
1784308518,0.32,17438.0,9819.0,0
1784308519,0.1,17352.0,18541.0,0
1784308520,0.22,21569.0,9819.0,0
1784308521,0.32,17442.0,9819.0,0
1784308522,0.11,21805.0,13842.0,0
1784308523,0.32,17554.0,9819.0,0
1784308525,0.21,17478.0,14231.0,0
1784308526,0.21,21613.0,9819.0,0
1784308527,0.21,17493.0,14209.0,0
1784308528,0.11,21832.0,13835.0,0
1784308529,0.32,17565.0,9819.0,0
1784308530,0.1,17492.0,18430.0,0
1784308531,0.32,17571.0,9819.0,0
1784308532,0.21,17501.0,14210.0,0
1784308533,0.21,21649.0,9819.0,0
1784308534,0.21,17417.0,14200.0,0
1784308535,0.0,21907.0,18093.0,0
1784308536,0.32,17538.0,9819.0,0
1784308537,0.1,17454.0,18519.0,0
1784308538,0.21,21623.0,9819.0,0
1784308539,0.21,17482.0,14286.0,0
1784308540,0.11,21864.0,13855.0,0
1784308541,0.31,17630.0,9819.0,0
1784308542,0.21,17550.0,14159.0,0
1784308543,0.21,21663.0,9819.0,0
1784308544,0.1,17481.0,18436.0,0
1784308545,0.11,21854.0,13850.0,0
1784308546,0.32,17560.0,9819.0,0
1784308547,0.1,17486.0,18419.0,0
1784308548,0.21,21625.0,9819.0,0
1784308549,0.21,17451.0,14217.0,0
1784308550,0.21,21595.0,9819.0,0
1784308551,0.32,17480.0,9819.0,0
1784308552,0.23,17138.0,13513.0,0
1784308553,0.32,17173.0,10062.0,0
1784308554,0.1,17058.0,18791.0,0
1784308555,0.22,21290.0,10062.0,0
1784308556,0.21,17139.0,14485.0,0
1784308557,0.11,21499.0,14105.0,0
1784308558,0.32,17266.0,10062.0,0
1784308559,0.21,17174.0,14515.0,0
1784308560,0.21,21400.0,10062.0,0
1784308561,0.21,17213.0,14473.0,0
1784308562,0.21,17213.0,14473.0,0
1784308563,0.32,17288.0,10062.0,0
1784308564,0.21,17187.0,14417.0,0
1784308566,0.22,21310.0,10062.0,0
1784308567,0.1,17158.0,18790.0,0
1784308568,0.11,21528.0,14057.0,0
1784308569,0.21,17127.0,14536.0,0
1784308570,0.1,17067.0,18742.0,0
1784308571,0.22,21304.0,10062.0,0
1784308572,0.21,17203.0,14421.0,0
1784308573,0.21,21345.0,10062.0,0
1784308574,0.32,17219.0,10062.0,0
1784308575,0.0,21747.0,18253.0,0
1784308576,0.31,17394.0,10062.0,0
1784308577,0.1,17275.0,18685.0,0
1784308578,0.21,21419.0,10062.0,0
1784308579,0.21,17269.0,14472.0,0
1784308580,0.11,21618.0,14108.0,0
1784308581,0.32,17260.0,10062.0,0
1784308582,0.1,17163.0,18669.0,0
1784308583,0.22,21271.0,10062.0,0
1784308584,0.1,17093.0,18829.0,0
1784308585,0.11,21498.0,14075.0,0
1784308586,0.32,17249.0,10062.0,0
1784308587,0.21,17172.0,14548.0,0
1784308588,0.21,21382.0,10062.0,0
1784308589,0.21,17279.0,14440.0,0
1784308590,0.11,21591.0,14062.0,0
1784308591,0.32,17282.0,10062.0,0
1784308592,0.1,17212.0,18688.0,0
1784308593,0.55,17109.0,761.0,0
1784308594,0.21,17019.0,14688.0,0
1784308595,0.21,21134.0,10329.0,0
1784308596,0.21,16946.0,14722.0,0
1784308597,0.21,16946.0,14722.0,0
1784308598,0.32,17011.0,10329.0,0
1784308599,0.1,16900.0,18967.0,0
1784308600,0.22,21059.0,10329.0,0
1784308601,0.21,16887.0,14742.0,0
1784308602,0.11,21228.0,14396.0,0
1784308603,0.32,16934.0,10329.0,0
1784308604,0.21,16845.0,14764.0,0
1784308605,0.22,21059.0,10329.0,0
1784308607,0.1,16871.0,19041.0,0
