timestamp,pod_ip,running,waiting
1784061893.5,10.100.2.6,0,0
1784061893.5,10.100.18.9,0,0
1784061895.5,10.100.2.6,0,0
1784061895.5,10.100.18.9,0,0
1784061897.5,10.100.2.6,0,0
1784061897.5,10.100.18.9,0,0
1784061899.5,10.100.2.6,0,0
1784061899.5,10.100.18.9,0,0
1784061901.5,10.100.2.6,0,0
1784061901.5,10.100.18.9,0,0
1784061903.5,10.100.2.6,0,0
1784061903.5,10.100.18.9,0,0
1784061905.5,10.100.2.6,0,0
1784061905.5,10.100.18.9,0,0
1784061907.6,10.100.2.6,0,0
1784061907.6,10.100.18.9,0,0
1784061909.6,10.100.2.6,0,0
1784061909.6,10.100.18.9,0,0
1784061911.6,10.100.2.6,0,0
1784061911.6,10.100.18.9,0,0
1784061913.6,10.100.2.6,0,0
1784061913.6,10.100.18.9,0,0
1784061915.6,10.100.2.6,0,0
1784061915.6,10.100.18.9,0,0
1784061917.6,10.100.2.6,0,0
1784061917.6,10.100.18.9,0,0
1784061919.6,10.100.2.6,0,0
1784061919.6,10.100.18.9,0,0
1784061921.6,10.100.2.6,0,0
1784061921.6,10.100.18.9,0,0
1784061923.6,10.100.2.6,0,0
1784061923.6,10.100.18.9,0,0
1784061925.6,10.100.2.6,0,0
1784061925.6,10.100.18.9,0,0
1784061927.6,10.100.2.6,0,0
1784061927.6,10.100.18.9,0,0
1784061929.7,10.100.2.6,0,0
1784061929.7,10.100.18.9,0,0
1784061931.7,10.100.2.6,0,0
1784061931.7,10.100.18.9,0,0
1784061933.7,10.100.2.6,0,0
1784061933.7,10.100.18.9,0,0
1784061935.7,10.100.2.6,0,0
1784061935.7,10.100.18.9,0,0
1784061937.7,10.100.2.6,0,0
1784061937.7,10.100.18.9,1,0
1784061939.7,10.100.2.6,1,0
1784061939.7,10.100.18.9,0,0
1784061941.7,10.100.2.6,0,0
1784061941.7,10.100.18.9,0,0
1784061943.7,10.100.2.6,0,0
1784061943.7,10.100.18.9,0,0
1784061945.7,10.100.2.6,0,0
1784061945.7,10.100.18.9,0,0
1784061947.7,10.100.2.6,0,0
1784061947.7,10.100.18.9,0,0
1784061949.7,10.100.2.6,0,0
1784061949.7,10.100.18.9,0,0
1784061951.8,10.100.2.6,0,0
1784061951.8,10.100.18.9,1,0
1784061953.8,10.100.2.6,0,0
1784061953.8,10.100.18.9,1,0
1784061955.8,10.100.2.6,0,0
1784061955.8,10.100.18.9,1,0
1784061957.8,10.100.2.6,0,0
1784061957.8,10.100.18.9,1,0
1784061959.8,10.100.2.6,0,0
1784061959.8,10.100.18.9,0,0
1784061961.8,10.100.2.6,0,0
1784061961.8,10.100.18.9,0,0
1784061963.8,10.100.2.6,0,0
1784061963.8,10.100.18.9,0,0
1784061965.8,10.100.2.6,0,0
1784061965.8,10.100.18.9,0,0
1784061967.8,10.100.2.6,0,0
1784061967.8,10.100.18.9,0,0
1784061969.9,10.100.2.6,0,0
1784061969.9,10.100.18.9,0,0
1784061971.9,10.100.2.6,0,0
1784061971.9,10.100.18.9,0,0
1784061973.9,10.100.2.6,0,0
1784061973.9,10.100.18.9,1,0
1784061976.0,10.100.2.6,0,0
1784061976.0,10.100.18.9,1,0
1784061978.0,10.100.2.6,0,0
1784061978.0,10.100.18.9,1,0
1784061980.0,10.100.2.6,0,0
1784061980.0,10.100.18.9,0,0
1784061982.0,10.100.2.6,0,0
1784061982.0,10.100.18.9,0,0
1784061984.0,10.100.2.6,0,0
1784061984.0,10.100.18.9,0,0
1784061986.0,10.100.2.6,0,0
1784061986.0,10.100.18.9,1,0
1784061988.0,10.100.2.6,0,0
1784061988.0,10.100.18.9,1,0
1784061990.0,10.100.2.6,0,0
1784061990.0,10.100.18.9,1,0
1784061992.0,10.100.2.6,0,0
1784061992.0,10.100.18.9,1,0
1784061994.0,10.100.2.6,1,0
1784061994.0,10.100.18.9,1,0
1784061996.1,10.100.2.6,1,0
1784061996.1,10.100.18.9,1,0
1784061998.1,10.100.2.6,2,0
1784061998.1,10.100.18.9,1,0
1784062000.1,10.100.2.6,2,0
1784062000.1,10.100.18.9,7,0
1784062002.1,10.100.2.6,2,0
1784062002.1,10.100.18.9,6,0
1784062004.1,10.100.2.6,2,0
1784062004.1,10.100.18.9,5,0
1784062006.1,10.100.2.6,1,0
1784062006.1,10.100.18.9,4,0
1784062008.1,10.100.2.6,1,0
1784062008.1,10.100.18.9,4,0
1784062010.1,10.100.2.6,1,0
1784062010.1,10.100.18.9,4,0
1784062012.1,10.100.2.6,0,0
1784062012.1,10.100.18.9,4,0
1784062014.1,10.100.2.6,0,0
1784062014.1,10.100.18.9,4,0
1784062016.1,10.100.2.6,0,0
1784062016.1,10.100.18.9,4,0
1784062018.2,10.100.2.6,0,0
1784062018.2,10.100.18.9,4,0
1784062020.2,10.100.2.6,0,0
1784062020.2,10.100.18.9,4,0
1784062022.2,10.100.2.6,0,0
1784062022.2,10.100.18.9,4,0
1784062024.2,10.100.2.6,0,0
1784062024.2,10.100.18.9,4,0
1784062026.2,10.100.2.6,0,0
1784062026.2,10.100.18.9,4,0
1784062028.2,10.100.2.6,0,0
1784062028.2,10.100.18.9,3,0
1784062030.2,10.100.2.6,0,0
1784062030.2,10.100.18.9,3,0
1784062032.2,10.100.2.6,0,0
1784062032.2,10.100.18.9,3,0
1784062034.2,10.100.2.6,0,0
1784062034.2,10.100.18.9,3,0
1784062036.2,10.100.2.6,0,0
1784062036.2,10.100.18.9,3,0
1784062038.2,10.100.2.6,0,0
1784062038.2,10.100.18.9,3,0
1784062040.3,10.100.2.6,0,0
1784062040.3,10.100.18.9,3,0
1784062042.3,10.100.2.6,0,0
1784062042.3,10.100.18.9,3,0
1784062044.3,10.100.2.6,0,0
1784062044.3,10.100.18.9,6,0
1784062046.3,10.100.2.6,0,0
1784062046.3,10.100.18.9,6,0
1784062048.4,10.100.2.6,0,0
1784062048.4,10.100.18.9,6,0
1784062050.4,10.100.2.6,0,0
1784062050.4,10.100.18.9,5,0
1784062052.4,10.100.2.6,0,0
1784062052.4,10.100.18.9,4,0
1784062054.4,10.100.2.6,0,0
1784062054.4,10.100.18.9,3,0
1784062056.4,10.100.2.6,0,0
1784062056.4,10.100.18.9,3,0
1784062058.4,10.100.2.6,0,0
1784062058.4,10.100.18.9,3,0
1784062060.4,10.100.2.6,0,0
1784062060.4,10.100.18.9,2,0
1784062062.4,10.100.2.6,0,0
1784062062.4,10.100.18.9,1,0
1784062064.4,10.100.2.6,0,0
1784062064.4,10.100.18.9,1,0
1784062066.4,10.100.2.6,0,0
1784062066.4,10.100.18.9,1,0
1784062068.5,10.100.2.6,0,0
1784062068.5,10.100.18.9,1,0
1784062070.5,10.100.2.6,0,0
1784062070.5,10.100.18.9,1,0
1784062072.5,10.100.2.6,0,0
1784062072.5,10.100.18.9,1,0
1784062074.5,10.100.2.6,0,0
1784062074.5,10.100.18.9,0,0
1784062076.5,10.100.2.6,0,0
1784062076.5,10.100.18.9,0,0
1784062078.5,10.100.2.6,0,0
1784062078.5,10.100.18.9,0,0
1784062080.5,10.100.2.6,0,0
1784062080.5,10.100.18.9,0,0
1784062082.5,10.100.2.6,0,0
1784062082.5,10.100.18.9,0,0
1784062084.5,10.100.2.6,0,0
1784062084.5,10.100.18.9,0,0
1784062086.5,10.100.2.6,0,0
1784062086.5,10.100.18.9,0,0
1784062088.5,10.100.2.6,0,0
1784062088.5,10.100.18.9,0,0
1784062090.5,10.100.2.6,0,0
1784062090.5,10.100.18.9,0,0
1784062092.6,10.100.2.6,1,0
1784062092.6,10.100.18.9,3,0
1784062094.6,10.100.2.6,0,0
1784062094.6,10.100.18.9,3,0
1784062096.6,10.100.2.6,0,0
1784062096.6,10.100.18.9,2,0
1784062098.6,10.100.2.6,0,0
1784062098.6,10.100.18.9,2,0
1784062100.6,10.100.2.6,0,0
1784062100.6,10.100.18.9,3,0
1784062102.6,10.100.2.6,0,0
1784062102.6,10.100.18.9,3,0
1784062104.6,10.100.2.6,0,0
1784062104.6,10.100.18.9,3,0
1784062106.6,10.100.2.6,0,0
1784062106.6,10.100.18.9,3,0
1784062108.6,10.100.2.6,0,0
1784062108.6,10.100.18.9,3,0
1784062110.6,10.100.2.6,0,0
1784062110.6,10.100.18.9,3,0
1784062112.7,10.100.2.6,0,0
