timestamp,pod_ip,running,waiting
1784062172.2,10.100.2.6,0,0
1784062172.2,10.100.18.9,0,0
1784062174.3,10.100.2.6,0,0
1784062174.3,10.100.18.9,0,0
1784062176.3,10.100.2.6,0,0
1784062176.3,10.100.18.9,0,0
1784062178.3,10.100.2.6,0,0
1784062178.3,10.100.18.9,0,0
1784062180.3,10.100.2.6,0,0
1784062180.3,10.100.18.9,0,0
1784062182.4,10.100.2.6,0,0
1784062182.4,10.100.18.9,0,0
1784062184.4,10.100.2.6,0,0
1784062184.4,10.100.18.9,0,0
1784062186.4,10.100.2.6,0,0
1784062186.4,10.100.18.9,0,0
1784062188.4,10.100.2.6,0,0
1784062188.4,10.100.18.9,0,0
1784062190.4,10.100.2.6,0,0
1784062190.4,10.100.18.9,0,0
1784062192.4,10.100.2.6,0,0
1784062192.4,10.100.18.9,1,0
1784062194.4,10.100.2.6,0,0
1784062194.4,10.100.18.9,0,0
1784062196.4,10.100.2.6,0,0
1784062196.4,10.100.18.9,0,0
1784062198.4,10.100.2.6,0,0
1784062198.4,10.100.18.9,1,0
1784062200.4,10.100.2.6,0,0
1784062200.4,10.100.18.9,1,0
1784062202.5,10.100.2.6,0,0
1784062202.5,10.100.18.9,2,0
1784062204.5,10.100.2.6,0,0
1784062204.5,10.100.18.9,2,0
1784062206.5,10.100.2.6,0,0
1784062206.5,10.100.18.9,2,0
1784062208.5,10.100.2.6,0,0
1784062208.5,10.100.18.9,2,0
1784062210.5,10.100.2.6,1,0
1784062210.5,10.100.18.9,2,0
1784062212.5,10.100.2.6,1,0
1784062212.5,10.100.18.9,2,0
1784062214.5,10.100.2.6,0,0
1784062214.5,10.100.18.9,2,0
1784062216.5,10.100.2.6,2,0
1784062216.5,10.100.18.9,2,0
1784062218.5,10.100.2.6,2,0
1784062218.5,10.100.18.9,2,0
1784062220.6,10.100.2.6,2,0
1784062220.6,10.100.18.9,2,0
1784062222.6,10.100.2.6,2,0
1784062222.6,10.100.18.9,2,0
1784062224.6,10.100.2.6,1,0
1784062224.6,10.100.18.9,1,0
1784062226.6,10.100.2.6,1,0
1784062226.6,10.100.18.9,1,0
1784062228.6,10.100.2.6,1,0
1784062228.6,10.100.18.9,0,0
1784062230.6,10.100.2.6,0,0
1784062230.6,10.100.18.9,0,0
1784062232.6,10.100.2.6,0,0
1784062232.6,10.100.18.9,0,0
1784062234.6,10.100.2.6,0,0
1784062234.6,10.100.18.9,1,0
1784062236.7,10.100.2.6,0,0
1784062236.7,10.100.18.9,1,0
1784062238.7,10.100.2.6,0,0
1784062238.7,10.100.18.9,1,0
1784062240.7,10.100.2.6,0,0
1784062240.7,10.100.18.9,0,0
1784062242.7,10.100.2.6,0,0
1784062242.7,10.100.18.9,0,0
1784062244.7,10.100.2.6,1,0
1784062244.7,10.100.18.9,0,0
1784062246.7,10.100.2.6,1,0
1784062246.7,10.100.18.9,0,0
1784062248.7,10.100.2.6,1,0
1784062248.7,10.100.18.9,0,0
1784062250.7,10.100.2.6,1,0
1784062250.7,10.100.18.9,0,0
1784062252.7,10.100.2.6,2,0
1784062252.7,10.100.18.9,0,0
1784062254.7,10.100.2.6,1,0
1784062254.7,10.100.18.9,7,0
1784062256.8,10.100.2.6,1,0
1784062256.8,10.100.18.9,6,0
1784062258.8,10.100.2.6,2,0
1784062258.8,10.100.18.9,5,0
1784062260.8,10.100.2.6,2,0
1784062260.8,10.100.18.9,5,0
1784062262.8,10.100.2.6,1,0
1784062262.8,10.100.18.9,6,0
1784062264.8,10.100.2.6,1,0
1784062264.8,10.100.18.9,6,0
1784062266.9,10.100.2.6,1,0
1784062266.9,10.100.18.9,5,0
1784062268.9,10.100.2.6,1,0
1784062268.9,10.100.18.9,5,0
1784062270.9,10.100.2.6,1,0
1784062270.9,10.100.18.9,4,0
1784062272.9,10.100.2.6,1,0
1784062272.9,10.100.18.9,4,0
1784062274.9,10.100.2.6,1,0
1784062274.9,10.100.18.9,4,0
1784062276.9,10.100.2.6,0,0
1784062276.9,10.100.18.9,4,0
1784062278.9,10.100.2.6,0,0
1784062278.9,10.100.18.9,4,0
1784062280.9,10.100.2.6,0,0
1784062280.9,10.100.18.9,4,0
1784062282.9,10.100.2.6,0,0
1784062282.9,10.100.18.9,4,0
1784062284.9,10.100.2.6,0,0
1784062284.9,10.100.18.9,6,0
1784062286.9,10.100.2.6,0,0
1784062286.9,10.100.18.9,6,0
1784062289.0,10.100.2.6,0,0
1784062289.0,10.100.18.9,5,0
1784062291.0,10.100.2.6,0,0
1784062291.0,10.100.18.9,5,0
1784062293.0,10.100.2.6,0,0
1784062293.0,10.100.18.9,5,0
1784062295.0,10.100.2.6,0,0
1784062295.0,10.100.18.9,5,0
1784062297.0,10.100.2.6,0,0
1784062297.0,10.100.18.9,4,0
1784062299.0,10.100.2.6,0,0
1784062299.0,10.100.18.9,3,0
1784062301.0,10.100.2.6,0,0
1784062301.0,10.100.18.9,3,0
1784062303.0,10.100.2.6,0,0
1784062303.0,10.100.18.9,3,0
1784062305.0,10.100.2.6,0,0
1784062305.0,10.100.18.9,3,0
1784062307.0,10.100.2.6,0,0
1784062307.0,10.100.18.9,3,0
1784062309.0,10.100.2.6,0,0
1784062309.0,10.100.18.9,2,0
1784062311.1,10.100.2.6,0,0
1784062311.1,10.100.18.9,1,0
1784062313.1,10.100.2.6,0,0
1784062313.1,10.100.18.9,1,0
1784062315.1,10.100.2.6,0,0
1784062315.1,10.100.18.9,1,0
1784062317.1,10.100.2.6,0,0
1784062317.1,10.100.18.9,1,0
1784062319.1,10.100.2.6,0,0
1784062319.1,10.100.18.9,1,0
1784062321.1,10.100.2.6,0,0
1784062321.1,10.100.18.9,1,0
1784062323.1,10.100.2.6,0,0
1784062323.1,10.100.18.9,1,0
1784062325.1,10.100.2.6,1,0
1784062325.1,10.100.18.9,7,0
1784062327.1,10.100.2.6,1,0
1784062327.1,10.100.18.9,7,0
1784062329.1,10.100.2.6,1,0
1784062329.1,10.100.18.9,7,0
1784062331.1,10.100.2.6,1,0
1784062331.1,10.100.18.9,7,0
1784062333.2,10.100.2.6,1,0
1784062333.2,10.100.18.9,7,0
1784062335.2,10.100.2.6,0,0
1784062335.2,10.100.18.9,7,0
1784062337.2,10.100.2.6,0,0
1784062337.2,10.100.18.9,7,0
1784062339.2,10.100.2.6,0,0
1784062339.2,10.100.18.9,7,0
1784062341.2,10.100.2.6,1,0
1784062341.2,10.100.18.9,6,0
1784062343.2,10.100.2.6,1,0
1784062343.2,10.100.18.9,7,0
1784062345.2,10.100.2.6,1,0
1784062345.2,10.100.18.9,7,0
1784062347.2,10.100.2.6,1,0
1784062347.2,10.100.18.9,7,0
1784062349.2,10.100.2.6,1,0
1784062349.2,10.100.18.9,7,0
1784062351.2,10.100.2.6,1,0
1784062351.2,10.100.18.9,7,0
1784062353.2,10.100.2.6,1,0
1784062353.2,10.100.18.9,7,0
1784062355.3,10.100.2.6,1,0
1784062355.3,10.100.18.9,7,0
1784062357.4,10.100.2.6,1,0
1784062357.4,10.100.18.9,7,0
1784062359.4,10.100.2.6,2,0
1784062359.4,10.100.18.9,8,0
1784062361.4,10.100.2.6,2,0
1784062361.4,10.100.18.9,8,0
1784062363.4,10.100.2.6,2,0
1784062363.4,10.100.18.9,7,0
1784062365.4,10.100.2.6,2,0
1784062365.4,10.100.18.9,6,0
