timestamp,pod_ip,running,waiting
1784063154.3,10.100.2.6,0,0
1784063154.3,10.100.18.9,0,0
1784063156.3,10.100.2.6,0,0
1784063156.3,10.100.18.9,0,0
1784063158.3,10.100.2.6,0,0
1784063158.3,10.100.18.9,0,0
1784063160.3,10.100.2.6,0,0
1784063160.3,10.100.18.9,0,0
1784063162.3,10.100.2.6,0,0
1784063162.3,10.100.18.9,0,0
1784063164.3,10.100.2.6,0,0
1784063164.3,10.100.18.9,0,0
1784063166.4,10.100.2.6,0,0
1784063166.4,10.100.18.9,0,0
1784063168.4,10.100.2.6,0,0
1784063168.4,10.100.18.9,0,0
1784063170.4,10.100.2.6,0,0
1784063170.4,10.100.18.9,0,0
1784063172.4,10.100.2.6,0,0
1784063172.4,10.100.18.9,0,0
1784063174.4,10.100.2.6,0,0
1784063174.4,10.100.18.9,0,0
1784063176.4,10.100.2.6,0,0
1784063176.4,10.100.18.9,0,0
1784063178.4,10.100.2.6,0,0
1784063178.4,10.100.18.9,0,0
1784063180.4,10.100.2.6,0,0
1784063180.4,10.100.18.9,0,0
1784063182.4,10.100.2.6,0,0
1784063182.4,10.100.18.9,0,0
1784063184.4,10.100.2.6,0,0
1784063184.4,10.100.18.9,1,0
1784063186.4,10.100.2.6,0,0
1784063186.4,10.100.18.9,1,0
1784063188.5,10.100.2.6,0,0
1784063188.5,10.100.18.9,1,0
1784063190.5,10.100.2.6,0,0
1784063190.5,10.100.18.9,1,0
1784063192.5,10.100.2.6,2,0
1784063192.5,10.100.18.9,1,0
1784063194.5,10.100.2.6,2,0
1784063194.5,10.100.18.9,1,0
1784063196.5,10.100.2.6,2,0
1784063196.5,10.100.18.9,1,0
1784063198.5,10.100.2.6,3,0
1784063198.5,10.100.18.9,0,0
1784063200.5,10.100.2.6,2,0
1784063200.5,10.100.18.9,0,0
1784063202.5,10.100.2.6,1,0
1784063202.5,10.100.18.9,2,0
1784063204.5,10.100.2.6,1,0
1784063204.5,10.100.18.9,1,0
1784063206.5,10.100.2.6,0,0
1784063206.5,10.100.18.9,1,0
1784063208.5,10.100.2.6,0,0
1784063208.5,10.100.18.9,0,0
1784063210.6,10.100.2.6,0,0
1784063210.6,10.100.18.9,0,0
1784063212.6,10.100.2.6,0,0
1784063212.6,10.100.18.9,0,0
1784063214.6,10.100.2.6,0,0
1784063214.6,10.100.18.9,0,0
1784063216.6,10.100.2.6,1,0
1784063216.6,10.100.18.9,0,0
1784063218.6,10.100.2.6,1,0
