timestamp,pod_ip,running,waiting
1784062874.2,10.100.2.6,0,0
1784062874.2,10.100.18.9,0,0
1784062876.3,10.100.2.6,0,0
1784062876.3,10.100.18.9,0,0
1784062878.3,10.100.2.6,0,0
1784062878.3,10.100.18.9,0,0
1784062880.3,10.100.2.6,0,0
1784062880.3,10.100.18.9,0,0
1784062882.3,10.100.2.6,0,0
1784062882.3,10.100.18.9,0,0
1784062884.3,10.100.2.6,0,0
1784062884.3,10.100.18.9,0,0
1784062886.3,10.100.2.6,0,0
1784062886.3,10.100.18.9,0,0
1784062888.3,10.100.2.6,0,0
1784062888.3,10.100.18.9,0,0
1784062890.3,10.100.2.6,0,0
1784062890.3,10.100.18.9,0,0
1784062892.3,10.100.2.6,0,0
1784062892.3,10.100.18.9,0,0
1784062894.4,10.100.2.6,0,0
1784062894.4,10.100.18.9,0,0
1784062896.4,10.100.2.6,0,0
1784062896.4,10.100.18.9,0,0
1784062898.4,10.100.2.6,0,0
1784062898.4,10.100.18.9,0,0
1784062900.4,10.100.2.6,0,0
1784062900.4,10.100.18.9,0,0
1784062902.4,10.100.2.6,0,0
1784062902.4,10.100.18.9,0,0
1784062904.4,10.100.2.6,0,0
1784062904.4,10.100.18.9,0,0
1784062906.4,10.100.2.6,0,0
1784062906.4,10.100.18.9,0,0
1784062908.4,10.100.2.6,0,0
1784062908.4,10.100.18.9,0,0
1784062910.4,10.100.2.6,0,0
1784062910.4,10.100.18.9,0,0
1784062912.4,10.100.2.6,0,0
1784062912.4,10.100.18.9,0,0
1784062914.4,10.100.2.6,0,0
1784062914.4,10.100.18.9,0,0
1784062916.5,10.100.2.6,0,0
1784062916.5,10.100.18.9,0,0
1784062918.5,10.100.2.6,0,0
1784062918.5,10.100.18.9,2,0
1784062920.5,10.100.2.6,0,0
1784062920.5,10.100.18.9,1,0
1784062922.5,10.100.2.6,0,0
1784062922.5,10.100.18.9,0,0
1784062924.5,10.100.2.6,0,0
1784062924.5,10.100.18.9,0,0
