timestamp,pod_ip,running,waiting
1784075918.1,10.100.2.7,0,0
1784075918.1,10.100.2.6,0,0
1784075918.1,10.100.18.9,0,0
1784075920.1,10.100.2.7,0,0
1784075920.1,10.100.2.6,0,0
1784075920.1,10.100.18.9,0,0
1784075922.2,10.100.2.7,0,0
1784075922.2,10.100.2.6,0,0
1784075922.2,10.100.18.9,0,0
1784075924.2,10.100.2.7,0,0
1784075924.2,10.100.2.6,0,0
1784075924.2,10.100.18.9,0,0
1784075926.2,10.100.2.7,0,0
1784075926.2,10.100.2.6,0,0
1784075926.2,10.100.18.9,0,0
1784075928.2,10.100.2.7,0,0
1784075928.2,10.100.2.6,0,0
1784075928.2,10.100.18.9,0,0
1784075930.2,10.100.2.7,0,0
1784075930.2,10.100.2.6,0,0
1784075930.2,10.100.18.9,0,0
1784075932.2,10.100.2.7,0,0
1784075932.2,10.100.2.6,0,0
1784075932.2,10.100.18.9,0,0
1784075934.2,10.100.2.7,0,0
1784075934.2,10.100.2.6,0,0
1784075934.2,10.100.18.9,0,0
1784075936.2,10.100.2.7,0,0
1784075936.2,10.100.2.6,0,0
1784075936.2,10.100.18.9,0,0
1784075938.3,10.100.2.7,0,0
1784075938.3,10.100.2.6,0,0
1784075938.3,10.100.18.9,0,0
1784075940.3,10.100.2.7,0,0
1784075940.3,10.100.2.6,0,0
1784075940.3,10.100.18.9,0,0
1784075942.3,10.100.2.7,0,0
1784075942.3,10.100.2.6,0,0
1784075942.3,10.100.18.9,0,0
1784075944.3,10.100.2.7,0,0
1784075944.3,10.100.2.6,0,0
1784075944.3,10.100.18.9,0,0
1784075946.3,10.100.2.7,0,0
1784075946.3,10.100.2.6,0,0
1784075946.3,10.100.18.9,0,0
1784075948.3,10.100.2.7,0,0
1784075948.3,10.100.2.6,0,0
1784075948.3,10.100.18.9,0,0
1784075950.3,10.100.2.7,0,0
1784075950.3,10.100.2.6,1,0
1784075950.3,10.100.18.9,0,0
1784075952.4,10.100.2.7,0,0
1784075952.4,10.100.2.6,0,0
1784075952.4,10.100.18.9,0,0
1784075954.4,10.100.2.7,0,0
1784075954.4,10.100.2.6,0,0
1784075954.4,10.100.18.9,0,0
1784075956.4,10.100.2.7,0,0
1784075956.4,10.100.2.6,0,0
1784075956.4,10.100.18.9,0,0
1784075958.4,10.100.2.7,0,0
1784075958.4,10.100.2.6,0,0
1784075958.4,10.100.18.9,0,0
1784075960.4,10.100.2.7,0,0
1784075960.4,10.100.2.6,0,0
1784075960.4,10.100.18.9,0,0
1784075962.4,10.100.2.7,0,0
1784075962.4,10.100.2.6,0,0
1784075962.4,10.100.18.9,0,0
1784075964.4,10.100.2.7,0,0
1784075964.4,10.100.2.6,0,0
1784075964.4,10.100.18.9,0,0
1784075966.5,10.100.2.7,0,0
1784075966.5,10.100.2.6,0,0
1784075966.5,10.100.18.9,0,0
1784075968.5,10.100.2.7,0,0
1784075968.5,10.100.2.6,0,0
1784075968.5,10.100.18.9,0,0
1784075970.5,10.100.2.7,0,0
1784075970.5,10.100.2.6,0,0
1784075970.5,10.100.18.9,0,0
1784075972.5,10.100.2.7,0,0
1784075972.5,10.100.2.6,0,0
1784075972.5,10.100.18.9,0,0
1784075974.5,10.100.2.7,0,0
1784075974.5,10.100.2.6,0,0
1784075974.5,10.100.18.9,0,0
1784075976.5,10.100.2.7,0,0
1784075976.5,10.100.2.6,0,0
1784075976.5,10.100.18.9,0,0
1784075978.5,10.100.2.7,0,0
1784075978.5,10.100.2.6,0,0
1784075978.5,10.100.18.9,0,0
1784075980.6,10.100.2.7,0,0
1784075980.6,10.100.2.6,0,0
1784075980.6,10.100.18.9,0,0
1784075982.6,10.100.2.7,0,0
1784075982.6,10.100.2.6,0,0
1784075982.6,10.100.18.9,0,0
1784075984.6,10.100.2.7,0,0
1784075984.6,10.100.2.6,0,0
1784075984.6,10.100.18.9,0,0
1784075986.6,10.100.2.7,0,0
1784075986.6,10.100.2.6,1,0
1784075986.6,10.100.18.9,1,0
1784075988.7,10.100.2.7,0,0
1784075988.7,10.100.2.6,0,0
1784075988.7,10.100.18.9,1,0
1784075990.7,10.100.2.7,0,0
1784075990.7,10.100.2.6,1,0
1784075990.7,10.100.18.9,1,0
1784075992.7,10.100.2.7,0,0
1784075992.7,10.100.2.6,1,0
1784075992.7,10.100.18.9,1,0
1784075994.7,10.100.2.7,0,0
1784075994.7,10.100.2.6,1,0
1784075994.7,10.100.18.9,2,0
1784075996.7,10.100.2.7,0,0
1784075996.7,10.100.2.6,1,0
1784075996.7,10.100.18.9,1,0
1784075998.7,10.100.2.7,0,0
1784075998.7,10.100.2.6,1,0
1784075998.7,10.100.18.9,1,0
1784076000.7,10.100.2.7,0,0
1784076000.7,10.100.2.6,1,0
1784076000.7,10.100.18.9,1,0
1784076002.8,10.100.2.7,1,0
1784076002.8,10.100.2.6,1,0
1784076002.8,10.100.18.9,1,0
1784076004.8,10.100.2.7,0,0
1784076004.8,10.100.2.6,1,0
1784076004.8,10.100.18.9,1,0
1784076006.8,10.100.2.7,0,0
1784076006.8,10.100.2.6,1,0
1784076006.8,10.100.18.9,1,0
1784076008.8,10.100.2.7,0,0
1784076008.8,10.100.2.6,1,0
1784076008.8,10.100.18.9,1,0
1784076010.8,10.100.2.7,0,0
1784076010.8,10.100.2.6,0,0
1784076010.8,10.100.18.9,1,0
1784076012.8,10.100.2.7,0,0
1784076012.8,10.100.2.6,0,0
1784076012.8,10.100.18.9,1,0
1784076014.8,10.100.2.7,0,0
1784076014.8,10.100.2.6,0,0
1784076014.8,10.100.18.9,1,0
1784076016.8,10.100.2.7,0,0
1784076016.8,10.100.2.6,0,0
1784076016.8,10.100.18.9,1,0
1784076018.9,10.100.2.7,0,0
1784076018.9,10.100.2.6,1,0
1784076018.9,10.100.18.9,1,0
1784076020.9,10.100.2.7,0,0
1784076020.9,10.100.2.6,0,0
1784076020.9,10.100.18.9,0,0
1784076022.9,10.100.2.7,0,0
1784076022.9,10.100.2.6,0,0
1784076022.9,10.100.18.9,0,0
1784076024.9,10.100.2.7,0,0
1784076024.9,10.100.2.6,0,0
1784076024.9,10.100.18.9,0,0
1784076026.9,10.100.2.7,0,0
1784076026.9,10.100.2.6,0,0
1784076026.9,10.100.18.9,0,0
1784076028.9,10.100.2.7,0,0
1784076028.9,10.100.2.6,0,0
1784076028.9,10.100.18.9,0,0
1784076030.9,10.100.2.7,0,0
1784076030.9,10.100.2.6,0,0
1784076030.9,10.100.18.9,0,0
1784076033.0,10.100.2.7,0,0
1784076033.0,10.100.2.6,0,0
1784076033.0,10.100.18.9,0,0
1784076035.0,10.100.2.7,0,0
1784076035.0,10.100.2.6,0,0
1784076035.0,10.100.18.9,0,0
1784076037.0,10.100.2.7,0,0
1784076037.0,10.100.2.6,0,0
1784076037.0,10.100.18.9,0,0
1784076039.0,10.100.2.7,0,0
1784076039.0,10.100.2.6,0,0
1784076039.0,10.100.18.9,0,0
1784076041.0,10.100.2.7,0,0
