timestamp,pod_ip,running,waiting
1784066486.8,10.100.2.7,0,0
1784066486.8,10.100.2.6,0,0
1784066486.8,10.100.18.9,0,0
1784066488.9,10.100.2.7,0,0
1784066488.9,10.100.2.6,0,0
1784066488.9,10.100.18.9,0,0
1784066490.9,10.100.2.7,0,0
1784066490.9,10.100.2.6,0,0
1784066490.9,10.100.18.9,0,0
1784066492.9,10.100.2.7,0,0
1784066492.9,10.100.2.6,0,0
1784066492.9,10.100.18.9,0,0
1784066494.9,10.100.2.7,0,0
1784066494.9,10.100.2.6,0,0
1784066494.9,10.100.18.9,0,0
1784066496.9,10.100.2.7,0,0
1784066496.9,10.100.2.6,0,0
1784066496.9,10.100.18.9,0,0
1784066499.0,10.100.2.7,0,0
1784066499.0,10.100.2.6,0,0
1784066499.0,10.100.18.9,0,0
1784066501.0,10.100.2.7,0,0
1784066501.0,10.100.2.6,0,0
1784066501.0,10.100.18.9,0,0
1784066503.0,10.100.2.7,0,0
1784066503.0,10.100.2.6,0,0
1784066503.0,10.100.18.9,0,0
1784066505.0,10.100.2.7,0,0
1784066505.0,10.100.2.6,0,0
1784066505.0,10.100.18.9,0,0
1784066507.1,10.100.2.7,0,0
1784066507.1,10.100.2.6,0,0
1784066507.1,10.100.18.9,0,0
1784066509.1,10.100.2.7,0,0
1784066509.1,10.100.2.6,0,0
1784066509.1,10.100.18.9,0,0
1784066511.1,10.100.2.7,0,0
1784066511.1,10.100.2.6,0,0
1784066511.1,10.100.18.9,0,0
1784066513.1,10.100.2.7,0,0
1784066513.1,10.100.2.6,0,0
1784066513.1,10.100.18.9,0,0
1784066515.1,10.100.2.7,0,0
1784066515.1,10.100.2.6,0,0
1784066515.1,10.100.18.9,0,0
1784066517.1,10.100.2.7,0,0
1784066517.1,10.100.2.6,0,0
1784066517.1,10.100.18.9,0,0
1784066519.1,10.100.2.7,0,0
1784066519.1,10.100.2.6,0,0
1784066519.1,10.100.18.9,0,0
1784066521.2,10.100.2.7,1,0
1784066521.2,10.100.2.6,0,0
1784066521.2,10.100.18.9,0,0
1784066523.2,10.100.2.7,1,0
1784066523.2,10.100.2.6,0,0
1784066523.2,10.100.18.9,0,0
1784066525.2,10.100.2.7,1,0
1784066525.2,10.100.2.6,0,0
1784066525.2,10.100.18.9,0,0
1784066527.2,10.100.2.7,1,0
1784066527.2,10.100.2.6,0,0
1784066527.2,10.100.18.9,0,0
1784066529.2,10.100.2.7,1,0
1784066529.2,10.100.2.6,0,0
1784066529.2,10.100.18.9,0,0
1784066531.2,10.100.2.7,1,0
1784066531.2,10.100.2.6,0,0
1784066531.2,10.100.18.9,0,0
1784066533.2,10.100.2.7,1,0
1784066533.2,10.100.2.6,0,0
1784066533.2,10.100.18.9,0,0
1784066535.3,10.100.2.7,1,0
1784066535.3,10.100.2.6,0,0
1784066535.3,10.100.18.9,0,0
1784066537.3,10.100.2.7,1,0
1784066537.3,10.100.2.6,1,0
1784066537.3,10.100.18.9,0,0
1784066539.3,10.100.2.7,1,0
1784066539.3,10.100.2.6,0,0
1784066539.3,10.100.18.9,0,0
1784066541.3,10.100.2.7,1,0
1784066541.3,10.100.2.6,0,0
1784066541.3,10.100.18.9,0,0
1784066543.3,10.100.2.7,1,0
1784066543.3,10.100.2.6,0,0
1784066543.3,10.100.18.9,0,0
1784066545.3,10.100.2.7,0,0
1784066545.3,10.100.2.6,0,0
1784066545.3,10.100.18.9,0,0
1784066547.3,10.100.2.7,0,0
1784066547.3,10.100.2.6,0,0
1784066547.3,10.100.18.9,0,0
1784066549.3,10.100.2.7,0,0
1784066549.3,10.100.2.6,0,0
1784066549.3,10.100.18.9,0,0
1784066551.4,10.100.2.7,0,0
1784066551.4,10.100.2.6,0,0
1784066551.4,10.100.18.9,0,0
1784066553.4,10.100.2.7,0,0
1784066553.4,10.100.2.6,0,0
1784066553.4,10.100.18.9,0,0
1784066555.4,10.100.2.7,0,0
1784066555.4,10.100.2.6,0,0
1784066555.4,10.100.18.9,0,0
1784066557.4,10.100.2.7,0,0
1784066557.4,10.100.2.6,0,0
1784066557.4,10.100.18.9,0,0
1784066559.4,10.100.2.7,0,0
1784066559.4,10.100.2.6,0,0
1784066559.4,10.100.18.9,0,0
1784066561.4,10.100.2.7,0,0
1784066561.4,10.100.2.6,0,0
1784066561.4,10.100.18.9,0,0
1784066563.4,10.100.2.7,0,0
1784066563.4,10.100.2.6,0,0
1784066563.4,10.100.18.9,0,0
1784066565.5,10.100.2.7,0,0
1784066565.5,10.100.2.6,0,0
1784066565.5,10.100.18.9,0,0
1784066567.5,10.100.2.7,0,0
1784066567.5,10.100.2.6,0,0
1784066567.5,10.100.18.9,0,0
1784066569.5,10.100.2.7,0,0
1784066569.5,10.100.2.6,0,0
1784066569.5,10.100.18.9,0,0
1784066571.5,10.100.2.7,0,0
1784066571.5,10.100.2.6,0,0
1784066571.5,10.100.18.9,0,0
1784066573.5,10.100.2.7,0,0
1784066573.5,10.100.2.6,0,0
1784066573.5,10.100.18.9,0,0
1784066575.5,10.100.2.7,0,0
1784066575.5,10.100.2.6,0,0
1784066575.5,10.100.18.9,0,0
1784066577.5,10.100.2.7,0,0
1784066577.5,10.100.2.6,0,0
1784066577.5,10.100.18.9,0,0
1784066579.5,10.100.2.7,0,0
1784066579.5,10.100.2.6,0,0
1784066579.5,10.100.18.9,0,0
1784066581.6,10.100.2.7,0,0
1784066581.6,10.100.2.6,0,0
1784066581.6,10.100.18.9,0,0
1784066583.6,10.100.2.7,1,0
1784066583.6,10.100.2.6,0,0
1784066583.6,10.100.18.9,0,0
1784066585.6,10.100.2.7,0,0
1784066585.6,10.100.2.6,0,0
1784066585.6,10.100.18.9,0,0
1784066587.6,10.100.2.7,0,0
1784066587.6,10.100.2.6,0,0
1784066587.6,10.100.18.9,0,0
1784066589.6,10.100.2.7,0,0
1784066589.6,10.100.2.6,0,0
1784066589.6,10.100.18.9,0,0
1784066591.6,10.100.2.7,0,0
1784066591.6,10.100.2.6,0,0
1784066591.6,10.100.18.9,0,0
1784066593.6,10.100.2.7,0,0
1784066593.6,10.100.2.6,0,0
1784066593.6,10.100.18.9,0,0
1784066595.7,10.100.2.7,0,0
1784066595.7,10.100.2.6,0,0
1784066595.7,10.100.18.9,0,0
1784066597.7,10.100.2.7,0,0
1784066597.7,10.100.2.6,0,0
1784066597.7,10.100.18.9,0,0
1784066599.7,10.100.2.7,0,0
1784066599.7,10.100.2.6,0,0
1784066599.7,10.100.18.9,0,0
1784066601.7,10.100.2.7,0,0
1784066601.7,10.100.2.6,0,0
1784066601.7,10.100.18.9,0,0
1784066603.7,10.100.2.7,0,0
1784066603.7,10.100.2.6,0,0
1784066603.7,10.100.18.9,0,0
1784066605.7,10.100.2.7,0,0
1784066605.7,10.100.2.6,0,0
1784066605.7,10.100.18.9,0,0
1784066607.7,10.100.2.7,0,0
1784066607.7,10.100.2.6,0,0
1784066607.7,10.100.18.9,1,0
1784066609.8,10.100.2.7,2,0
1784066609.8,10.100.2.6,0,0
1784066609.8,10.100.18.9,1,0
1784066611.8,10.100.2.7,2,0
1784066611.8,10.100.2.6,0,0
1784066611.8,10.100.18.9,1,0
1784066613.8,10.100.2.7,2,0
1784066613.8,10.100.2.6,0,0
1784066613.8,10.100.18.9,1,0
1784066615.8,10.100.2.7,2,0
1784066615.8,10.100.2.6,0,0
1784066615.8,10.100.18.9,1,0
1784066617.8,10.100.2.7,2,0
1784066617.8,10.100.2.6,0,0
1784066617.8,10.100.18.9,1,0
1784066619.8,10.100.2.7,2,0
1784066619.8,10.100.2.6,0,0
1784066619.8,10.100.18.9,0,0
1784066621.8,10.100.2.7,2,0
1784066621.8,10.100.2.6,0,0
1784066621.8,10.100.18.9,0,0
1784066623.8,10.100.2.7,2,0
1784066623.8,10.100.2.6,0,0
1784066623.8,10.100.18.9,1,0
1784066625.9,10.100.2.7,2,0
1784066625.9,10.100.2.6,0,0
1784066625.9,10.100.18.9,1,0
1784066627.9,10.100.2.7,1,0
1784066627.9,10.100.2.6,0,0
1784066627.9,10.100.18.9,1,0
1784066629.9,10.100.2.7,1,0
1784066629.9,10.100.2.6,0,0
1784066629.9,10.100.18.9,1,0
1784066631.9,10.100.2.7,1,0
1784066631.9,10.100.2.6,0,0
1784066631.9,10.100.18.9,1,0
1784066633.9,10.100.2.7,1,0
1784066633.9,10.100.2.6,0,0
1784066633.9,10.100.18.9,1,0
1784066635.9,10.100.2.7,0,0
1784066635.9,10.100.2.6,0,0
1784066635.9,10.100.18.9,1,0
1784066637.9,10.100.2.7,0,0
1784066637.9,10.100.2.6,0,0
1784066637.9,10.100.18.9,1,0
1784066640.0,10.100.2.7,0,0
1784066640.0,10.100.2.6,0,0
1784066640.0,10.100.18.9,1,0
1784066642.0,10.100.2.7,0,0
1784066642.0,10.100.2.6,0,0
1784066642.0,10.100.18.9,0,0
1784066644.0,10.100.2.7,0,0
1784066644.0,10.100.2.6,0,0
1784066644.0,10.100.18.9,0,0
1784066646.0,10.100.2.7,0,0
1784066646.0,10.100.2.6,0,0
1784066646.0,10.100.18.9,0,0
1784066648.0,10.100.2.7,0,0
1784066648.0,10.100.2.6,0,0
1784066648.0,10.100.18.9,0,0
1784066650.0,10.100.2.7,0,0
1784066650.0,10.100.2.6,0,0
1784066650.0,10.100.18.9,0,0
1784066652.0,10.100.2.7,0,0
1784066652.0,10.100.2.6,0,0
1784066652.0,10.100.18.9,0,0
1784066654.0,10.100.2.7,0,0
1784066654.0,10.100.2.6,0,0
1784066654.0,10.100.18.9,0,0
1784066656.1,10.100.2.7,0,0
1784066656.1,10.100.2.6,0,0
1784066656.1,10.100.18.9,0,0
1784066658.1,10.100.2.7,0,0
1784066658.1,10.100.2.6,0,0
1784066658.1,10.100.18.9,0,0
1784066660.1,10.100.2.7,0,0
1784066660.1,10.100.2.6,0,0
1784066660.1,10.100.18.9,0,0
1784066662.1,10.100.2.7,0,0
1784066662.1,10.100.2.6,0,0
1784066662.1,10.100.18.9,0,0
1784066664.1,10.100.2.7,0,0
1784066664.1,10.100.2.6,0,0
1784066664.1,10.100.18.9,0,0
1784066666.1,10.100.2.7,0,0
1784066666.1,10.100.2.6,0,0
1784066666.1,10.100.18.9,0,0
1784066668.1,10.100.2.7,0,0
1784066668.1,10.100.2.6,0,0
1784066668.1,10.100.18.9,0,0
1784066670.2,10.100.2.7,0,0
1784066670.2,10.100.2.6,0,0
1784066670.2,10.100.18.9,0,0
1784066672.2,10.100.2.7,0,0
1784066672.2,10.100.2.6,0,0
1784066672.2,10.100.18.9,0,0
1784066674.2,10.100.2.7,0,0
1784066674.2,10.100.2.6,0,0
1784066674.2,10.100.18.9,0,0
1784066676.2,10.100.2.7,0,0
1784066676.2,10.100.2.6,0,0
1784066676.2,10.100.18.9,0,0
1784066678.2,10.100.2.7,0,0
1784066678.2,10.100.2.6,0,0
1784066678.2,10.100.18.9,0,0
1784066680.2,10.100.2.7,0,0
1784066680.2,10.100.2.6,0,0
1784066680.2,10.100.18.9,0,0
1784066682.2,10.100.2.7,0,0
1784066682.2,10.100.2.6,0,0
1784066682.2,10.100.18.9,0,0
1784066684.3,10.100.2.7,0,0
1784066684.3,10.100.2.6,0,0
1784066684.3,10.100.18.9,0,0
1784066686.3,10.100.2.7,0,0
1784066686.3,10.100.2.6,0,0
1784066686.3,10.100.18.9,0,0
1784066688.3,10.100.2.7,0,0
1784066688.3,10.100.2.6,0,0
1784066688.3,10.100.18.9,0,0
1784066690.3,10.100.2.7,0,0
